BMU;Dist
1059;0.02
1060;0.06
1061;0.18
1062;0.32
1063;0.37
1064;0.36
1065;0.32
1066;0.22
1067;0.36
1068;0.25
1069;0.15
1070;0.0
1071;0.04
1072;0.0
1073;0.03
1074;0.04
1075;0.15
1076;0.32
1077;0.31
1078;0.25
1079;0.33
1080;0.31
1081;0.47
1082;0.27
1083;0.0
1084;0.01
1085;0.0
1086;0.0
1087;0.05
1088;0.05
1089;0.33
1090;0.27
1091;0.6
1092;0.27
1093;0.18
1094;0.18
1095;0.21
1096;0.21
1097;0.21
1098;0.21
1099;0.16
1100;0.44
1101;0.06
1102;0.05
1103;0.0
1104;0.0
1105;0.0
1106;0.0
1107;0.06
1108;0.0
1109;0.64
1110;0.32
1111;0.37
1112;0.06
1113;0.05
1114;0.22
1115;0.21
1116;0.04
1117;0.0
1118;0.0
1119;0.0
1120;0.0
1121;0.0
1122;0.04
1123;0.05
1124;0.3
1125;0.38
1126;0.3
1127;0.3
1128;0.46
1129;0.18
1130;0.27
1131;0.1
1132;0.01
1133;0.03
1134;0.05
1135;0.17
1136;0.29
1137;0.31
1138;0.36
1139;0.26
1140;0.16
1141;0.13
1142;0.04
1143;0.08
1144;0.0
1145;0.08
1146;0.06
1147;0.21
1148;0.49
1149;0.2
1150;0.05
1151;0.03
1152;0.0
1153;0.03
1154;0.06
1155;0.23
1156;0.64
1157;0.28
1158;0.06
1159;0.09
1160;0.04
1161;0.13
1162;0.43
1163;0.2
1164;0.04
1165;0.02
1166;0.0
1167;0.0
1168;0.0
1169;0.03
1170;0.05
1171;0.28
1172;0.61
1173;0.23
1174;0.06
1175;0.18
1176;0.0
1177;0.27
1178;0.03
1179;0.04
1180;0.05
1181;0.0
1182;0.56
1183;0.28
1184;0.32
1185;0.16
1186;0.02
1187;0.16
1188;0.05
1189;0.01
1190;0.01
1191;0.01
1192;0.01
1193;0.07
1194;0.05
1195;0.51
1196;0.05
1197;0.09
1198;0.06
1199;0.06
1200;0.06
1201;0.0
1202;0.64
1203;0.0
1204;0.06
1205;0.0
1206;0.0
1207;0.04
1208;0.0
1209;0.43
1210;0.03
1211;0.06
1212;0.01
1213;0.01
1214;0.01
1215;0.01
1216;0.07
1217;0.03
1218;0.61
1219;0.0
1220;0.06
1221;0.04
1222;0.03
1223;0.17
1224;0.24
1225;0.09
1226;0.05
1227;0.17
1228;0.56
1229;0.36
1230;0.06
1231;0.17
1232;0.15
1233;0.13
1234;0.17
1235;0.06
1236;0.01
1237;0.01
1238;0.01
1239;0.04
1240;0.05
1241;0.27
1242;0.47
1243;0.16
1244;0.04
1245;0.06
1246;0.08
1247;0.19
1248;0.64
1249;0.33
1250;0.06
1251;0.03
1252;0.0
1253;0.02
1254;0.04
1255;0.22
1256;0.41
1257;0.14
1258;0.06
1259;0.02
1260;0.0
1261;0.02
1262;0.07
1263;0.19
1264;0.6
1265;0.32
1266;0.06
1267;0.04
1268;0.01
1269;0.02
