BMU;Dist
773;0.02
774;0.01
775;0.05
776;0.18
777;0.15
778;0.18
779;0.07
780;0.01
781;0.0
782;0.0
783;0.03
784;0.08
785;0.29
786;0.52
787;0.26
788;0.04
789;0.18
790;0.05
791;0.31
792;0.65
793;0.25
794;0.06
795;0.03
796;0.0
797;0.06
798;0.13
799;0.21
800;0.03
801;0.07
802;0.04
803;0.04
804;0.0
805;0.0
806;0.26
807;0.1
808;0.45
809;0.22
810;0.26
811;0.26
812;0.26
813;0.26
814;0.22
815;0.45
816;0.26
817;0.64
818;0.06
819;0.07
820;0.07
821;0.07
822;0.06
823;0.17
824;0.16
825;0.02
826;0.01
827;0.0
828;0.0
829;0.0
830;0.05
831;0.04
832;0.52
833;0.43
834;0.44
835;0.46
836;0.43
837;0.43
838;0.6
839;0.06
840;0.06
841;0.0
842;0.0
843;0.0
844;0.01
845;0.13
846;0.03
847;0.32
848;0.03
849;0.22
850;0.04
851;0.18
852;0.26
853;0.29
854;0.48
855;0.22
856;0.03
857;0.09
858;0.0
859;0.09
860;0.03
861;0.23
862;0.6
863;0.49
864;0.58
865;0.37
866;0.0
867;0.27
868;0.03
869;0.26
870;0.33
871;0.15
872;0.03
873;0.01
874;0.0
875;0.02
876;0.05
877;0.21
878;0.55
879;0.27
880;0.04
881;0.18
882;0.06
883;0.3
884;0.74
885;0.39
886;0.11
887;0.04
888;0.0
889;0.0
890;0.01
891;0.09
892;0.13
893;0.13
894;0.74
895;0.74
896;0.77
897;0.39
898;0.42
899;0.37
900;0.15
901;0.5
902;0.05
903;0.04
904;0.01
905;0.01
906;0.01
907;0.01
908;0.04
909;0.06
910;0.56
911;0.31
912;0.74
913;0.74
914;0.74
915;0.74
916;0.74
917;0.25
918;0.36
919;0.03
920;0.01
921;0.0
922;0.0
923;0.05
924;0.0
925;0.56
926;0.03
927;0.07
928;0.04
929;0.04
930;0.09
931;0.03
932;0.76
933;0.05
934;0.07
935;0.0
936;0.0
937;0.01
938;0.0
939;0.25
940;0.23
941;0.3
942;0.03
943;0.37
944;0.41
945;0.38
946;0.13
947;0.33
948;0.42
949;0.28
950;0.03
951;0.06
952;0.01
953;0.01
954;0.0
955;0.03
956;0.06
957;0.35
958;0.7
959;0.33
960;0.06
961;0.28
962;0.0
963;0.36
964;0.53
965;0.4
966;0.38
967;0.22
968;0.0
969;0.15
970;0.05
971;0.27
972;0.56
973;0.22
974;0.05
975;0.03
976;0.0
977;0.03
978;0.07
979;0.29
980;0.79
981;0.3
982;0.07
983;0.03
984;0.01
985;0.09
986;0.25
987;0.2
988;0.14
989;0.13
990;0.11
991;0.51
992;0.41
993;0.46
994;0.44
995;0.45
996;0.22
997;0.26
998;0.0
999;0.01
1000;0.0
1001;0.0
1002;0.06
1003;0.0
1004;0.69
1005;0.06
1006;0.08
1007;0.07
1008;0.07
1009;0.07
1010;0.06
1011;0.59
1012;0.3
1013;0.5
1014;0.42
1015;0.42
1016;0.44
1017;0.4
1018;0.54
1019;0.06
1020;0.05
1021;0.0
1022;0.0
1023;0.0
1024;0.0
1025;0.07
1026;0.0
1027;0.79
1028;0.0
1029;0.07
1030;0.04
1031;0.03
1032;0.25
1033;0.0
1034;0.25
1035;0.06
1036;0.04
1037;0.22
1038;0.41
1039;0.26
1040;0.04
1041;0.2
1042;0.22
